Address,Type,Year built,Total rental units,Primary market units,Residential standards violations issued (2020-2022),Building permits issued (2020-2022),Building permit work types,Building permit issue years,Assessment history,Sales history,Census tract,Forward sortation area,Rental Market Survey zone,Municipality
"11 Joseph Young St, Dartmouth",Primary market,1989,36,36,1,1,Renovation,2022,"2023: $3,237,900; 2022: $2,973,600; 2021: $2,529,400; 2020: $2,268,400; 2019: $2,140,900",,2050114.00,B3A,Dartmouth North,Halifax
"11 Main Ave, Halifax",Primary market,1969,17,17,,,,,"2023: $1,223,500; 2022: $1,145,600; 2021: $1,120,900; 2020: $1,121,300; 2019: $1,056,900",,2050025.02,B3M,Mainland North,Halifax
"11 Mandaville Crt, Halifax",Primary market,1972,24,24,,,,,"2023: $2,435,700; 2022: $2,439,500; 2021: $2,439,100; 2020: $2,197,700; 2019: $2,136,100",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"11 Nelson Dr, Lower Sackville",Primary market,1972,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050131.05,B4C,Sackville,Halifax
"11 Old Sambro Rd, Halifax",Primary market,1972,9,9,,,,,"2023: $509,400; 2022: $515,900; 2021: $482,800; 2020: $402,900; 2019: $418,700",,2050015.00,B3P (2006-2015); B3R (2016-2022),Mainland South,Halifax
"11 Primrose St, Dartmouth",Primary market,1965,21,21,,,,,"2023: $1,912,200; 2022: $1,869,300; 2021: $1,726,900; 2020: $1,209,700; 2019: $1,133,100","2020: $1,387,500 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"11 Regency Dr, Dartmouth",Primary market,1971,6,6,,,,,"2023: $445,600; 2022: $430,800; 2021: $401,200; 2020: $360,300; 2019: $371,800","2019: $426,000 (1 parcel in sale)",2050101.00,B2Y,Dartmouth South,Halifax
"110 Albro Lake Rd, Dartmouth",Primary market,1961,4,4,,,,,"2023: $465,700; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400","2021: $450,000 (1 parcel in sale)",2050109.00,B3A,Dartmouth North,Halifax
"110 Greenpark Close, Halifax",Primary market,2014,111,111,,,,,"2023: $21,600,800; 2022: $20,724,200; 2021: $20,877,600; 2020: $20,189,900; 2019: $20,402,600",,2050025.03 (2014-2020); 2050025.05 (2021-2022),B3S,Mainland North,Halifax
"110 Pinecrest Dr, Dartmouth",Primary market,1964,6,6,,,,,"2023: $407,000; 2022: $392,000; 2021: $355,600; 2020: $304,900; 2019: $289,000",,2050114.00,B3A,Dartmouth North,Halifax
"1101 Cole Harbour Rd, Dartmouth",Primary market,2020,52,52,1,,,,"2023: $8,824,300; 2022: $8,485,500; 2021: $8,955,400; 2020: $7,610,700; 2019: $795,600",,2050122.05,B2W,Dartmouth East,Halifax
"1101 Wellington St, Halifax",Primary market,2011,4,4,,,,,"2023: $1,519,800; 2022: $1,459,500; 2021: $1,371,900; 2020: $1,272,400; 2019: $1,260,400",,2050004.02,B3H,Peninsula South,Halifax
"1104 Tower Rd, Halifax",Primary market,1900,53,53,,,,,"2023: $6,887,400; 2022: $6,074,300; 2021: $5,939,800; 2020: $5,385,100; 2019: $5,377,000",,2050004.02,B3H,Peninsula South,Halifax
"1105 Wellington St, Halifax",Primary market,1933,4,4,,,,,"2023: $974,900; 2022: $913,900; 2021: $875,500; 2020: $913,400; 2019: $904,800",,2050004.02,B3H,Peninsula South,Halifax
"1109 Cole Harbour Rd, Dartmouth",Primary market,1978,89,89,,,,,"2023: $5,926,600; 2022: $5,540,800; 2021: $5,581,600; 2020: $5,469,800; 2019: $5,233,100",,2050122.02 (2006-2010); 2050122.05 (2011-2022),B2W,Dartmouth East,Halifax
"111 Main Ave, Halifax",Primary market,1966,13,13,,,,,"2023: $1,288,500; 2022: $1,278,300; 2021: $1,278,100; 2020: $1,154,900; 2019: $1,129,400",,2050025.01,B3M,Mainland North,Halifax
"111 Pebblecreek Crescent, Dartmouth",Primary market,2013,50,50,,,,,"2023: $11,377,700; 2022: $11,495,400; 2021: $10,892,000; 2020: $11,282,000; 2019: $10,545,600",,2050121.07 (2013-2015); 2050121.10 (2016-2022),B2V (2013-2015); B2W (2016-2022),Dartmouth East,Halifax
"111 Pinecrest Dr, Dartmouth",Primary market,1965,6,6,,,,,"2023: $407,000; 2022: $392,000; 2021: $355,600; 2020: $304,900; 2019: $274,600","2021: $6,000,000 (7 parcels in sale); 2021: $5,526,118 (8 parcels in sale); 2020: $0 (7 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"1111 Lucknow St, Halifax",Primary market,2010,4,4,,,,,"2023: $1,200,100; 2022: $1,072,000; 2021: $1,006,000; 2020: $973,700; 2019: $964,500",,2050004.02,B3H,Peninsula South,Halifax
"1112 Cole Harbour Rd, Dartmouth",Primary market,1985,4,4,,,,,"2023: $397,000; 2022: $393,800; 2021: $367,000; 2020: $382,000; 2019: $384,200",,2050121.02,B2V,Dartmouth East,Halifax
"1112 Tower Rd, Halifax",Primary market,1960,15,15,,,,,"2023: $2,528,200; 2022: $2,104,600; 2021: $2,108,900; 2020: $1,358,900; 2019: $1,284,100","2019: $1,712,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"1114 Cole Harbour Rd, Dartmouth",Primary market,1988,12,12,,,,,"2023: $1,068,500; 2022: $1,073,400; 2021: $1,228,800; 2020: $1,296,000; 2019: $1,314,900",,2050121.02,B2V,Dartmouth East,Halifax
"1114 Lucknow St, Halifax",Primary market,1897,15,15,,,,,"2023: $3,068,800; 2022: $2,662,600; 2021: $2,563,800; 2020: $2,255,400; 2019: $2,182,100",,2050004.02,B3H,Peninsula South,Halifax
"1117 Wellington St, Halifax",Primary market,2012,9,9,,,,,"2023: $2,619,900; 2022: $2,130,600; 2021: $2,215,400; 2020: $2,111,600; 2019: $2,085,900",,2050004.02,B3H,Peninsula South,Halifax
"1119 Tower Rd, Halifax",Primary market,1969,88,88,,,,,"2023: $14,725,400; 2022: $12,936,000; 2021: $11,952,600; 2020: $10,722,000; 2019: $10,066,200",,2050004.02,B3H,Peninsula South,Halifax
"112 Albro Lake Rd, Dartmouth",Primary market,1946,4,4,,,,,"2023: $355,800; 2022: $330,900; 2021: $314,300; 2020: $304,000; 2019: $298,400",,2050109.00,B3A,Dartmouth North,Halifax
"112 Greenpark Close, Halifax",Primary market,2013,105,105,,,,,"2023: $22,742,600; 2022: $21,352,100; 2021: $20,129,500; 2020: $19,441,500; 2019: $19,026,100",,2050025.03 (2013-2020); 2050025.05 (2021-2022),B3S,Mainland North,Halifax
"112 Pinecrest Dr, Dartmouth",Primary market,1964,6,6,,,,,"2023: $347,100; 2022: $352,800; 2021: $301,700; 2020: $268,900; 2019: $251,200","2021: $69,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"112 Tacoma Dr, Dartmouth",Boarding house,2021,,,,,,,,,2050104.01,B2W,Dartmouth East,Halifax
"1122 Lucknow St, Halifax",Primary market,,11,11,,,,,"2023: $2,973,600; 2022: $2,473,200; 2021: $2,447,900; 2020: $2,579,500; 2019: $2,548,100","2022: $4,000,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"1122 Tower Rd, Halifax",Primary market,1956,42,42,,,,,"2023: $6,192,900; 2022: $5,374,000; 2021: $5,028,800; 2020: $4,745,800; 2019: $4,669,800",,2050004.02,B3H,Peninsula South,Halifax
"1127 S Park St, Halifax",Primary market,1890,5,5,,,,,"2023: $1,056,500; 2022: $974,500; 2021: $896,300; 2020: $867,800; 2019: $859,600",,2050004.02,B3H,Peninsula South,Halifax
"1128 S Park St, Halifax",Primary market,1959,16,16,,,,,"2023: $2,732,900; 2022: $2,384,900; 2021: $1,729,000; 2020: $1,436,200; 2019: $1,323,200","2019: $2,767,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"113 Albro Lake Rd, Dartmouth",Primary market,1962,23,23,1,,,,"2023: $1,169,400; 2022: $1,192,900; 2021: $1,071,800; 2020: $954,100; 2019: $891,200",,2050114.00,B3A,Dartmouth North,Halifax
"113 Pinecrest Dr, Dartmouth",Primary market,1965,8,8,,,,,"2023: $546,600; 2022: $525,300; 2021: $478,400; 2020: $378,400; 2019: $404,600","2021: $6,000,000 (7 parcels in sale); 2021: $5,526,118 (8 parcels in sale); 2020: $0 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"1131 Wellington St, Halifax",Primary market,2008,4,4,,,,,"2023: $1,070,400; 2022: $994,300; 2021: $942,900; 2020: $913,400; 2019: $799,800","2019: $950,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"1134 Tower Rd, Halifax",Primary market,2015,12,12,,1,Addition,2021,"2023: $5,336,500; 2022: $3,561,700; 2021: $3,514,700; 2020: $3,227,600; 2019: $3,166,600",,2050004.02,B3H,Peninsula South,Halifax
"1135 Queen St, Halifax",Primary market,1957,10,10,,,,,"2023: $1,752,900; 2022: $1,557,400; 2021: $1,550,900; 2020: $1,413,800; 2019: $1,335,000",,2050004.01,B3H,Peninsula South,Halifax
"1135 S Park St, Halifax",Primary market,,5,5,,,,,"2023: $920,000; 2022: $819,100; 2021: $768,300; 2020: $742,200; 2019: $735,200",,2050004.02,B3H,Peninsula South,Halifax
"1136 Wellington St, Halifax",Primary market,1917,6,6,,,,,"2023: $1,967,600; 2022: $1,505,600; 2021: $653,500; 2020: $644,800; 2019: $642,400",,2050004.02,B3H,Peninsula South,Halifax
"1138 Riverside Dr, Lower Sackville",Primary market,1972,12,12,,,,,"2023: $758,900; 2022: $705,500; 2021: $703,400; 2020: $749,200; 2019: $689,800",,2050131.02,B4C,Sackville,Halifax
"1138 Tower Rd, Halifax",Primary market,,4,4,,,,,"2023: $736,000; 2022: $655,300; 2021: $614,600; 2020: $593,700; 2019: $588,100",,2050004.02,B3H,Peninsula South,Halifax
"114 Millwood Dr, Middle Sackville",Primary market,2010,59,59,,,,,"2023: $5,904,700; 2022: $5,540,700; 2021: $5,522,300; 2020: $4,725,100; 2019: $5,568,200",,2050132.03,B4E,Sackville,Halifax
"114 Pinecrest Dr, Dartmouth",Primary market,1964,6,6,,,,,"2023: $407,000; 2022: $392,000; 2021: $355,600; 2020: $304,900; 2019: $289,000",,2050114.00,B3A,Dartmouth North,Halifax
"1142 S Park St, Halifax",Primary market,1900,5,5,,,,,"2023: $973,700; 2022: $876,200; 2021: $626,000; 2020: $565,200; 2019: $503,900",,2050004.02,B3H,Peninsula South,Halifax
"1143 Queen St, Halifax",Primary market,1961,13,13,,,,,"2023: $1,703,600; 2022: $1,639,100; 2021: $1,082,200; 2020: $910,500; 2019: $957,500","2021: $2,958,000 (1 parcel in sale)",2050004.01,B3H,Peninsula South,Halifax
"1144 S Park St, Halifax",Primary market,,4,4,,,,,"2023: $736,000; 2022: $655,300; 2021: $614,600; 2020: $593,700; 2019: $588,100",,2050004.02,B3H,Peninsula South,Halifax
"1148 Riverside Dr, Lower Sackville",Primary market,1989,24,24,,,,,"2023: $2,581,700; 2022: $2,417,300; 2021: $2,411,400; 2020: $2,104,400; 2019: $1,991,000",,2050131.02,B4C,Sackville,Halifax
"115 Albro Lake Rd, Dartmouth",Primary market,1966,8,8,,,,,"2023: $540,800; 2022: $563,700; 2021: $554,600; 2020: $482,500; 2019: $451,700","2021: $575,000 (1 parcel in sale)",2050114.00,B3A,Dartmouth North,Halifax
"115 Pinecrest Dr, Dartmouth",Primary market,1968,12,12,,,,,"2023: $829,200; 2022: $792,500; 2021: $945,100; 2020: $762,700; 2019: $722,700",,2050114.00,B3A,Dartmouth North,Halifax
"1152 S Park St, Halifax",Primary market,1916,10,10,,,,,"2023: $1,099,000; 2022: $960,200; 2021: $935,100; 2020: $805,100; 2019: $754,400",,2050004.02,B3H,Peninsula South,Halifax
"1156 Wellington St, Halifax",Primary market,2011,5,5,,,,,"2023: $1,218,600; 2022: $1,142,400; 2021: $1,094,400; 2020: $1,141,800; 2019: $1,131,000",,2050004.02,B3H,Peninsula South,Halifax
"1157 Riverside Dr, Lower Sackville",Primary market,1975,6,6,,,,,"2023: $568,000; 2022: $549,600; 2021: $598,500; 2020: $452,500; 2019: $436,700",,2050131.02,B4C,Sackville,Halifax
"1157 Tower Rd, Halifax",Primary market,1979,54,54,,,,,"2023: $9,909,000; 2022: $7,692,900; 2021: $7,471,000; 2020: $6,609,700; 2019: $6,459,100",,2050004.02,B3H,Peninsula South,Halifax
"1158 S Park St, Halifax",Primary market,1916,6,6,,,,,"2023: $799,600; 2022: $687,600; 2021: $659,000; 2020: $591,400; 2019: $554,600",,2050004.02,B3H,Peninsula South,Halifax
"1158 Wellington St, Halifax",Primary market,,5,5,,,,,"2023: $1,500,100; 2022: $1,340,000; 2021: $1,257,500; 2020: $1,217,200; 2019: $859,600",,2050004.02,B3H,Peninsula South,Halifax
"116 Albro Lake Rd, Dartmouth",Primary market,1963,9,9,,,,,"2023: $612,600; 2022: $588,300; 2021: $554,800; 2020: $565,200; 2019: $534,800",,2050109.00,B3A,Dartmouth North,Halifax
"116 Pinecrest Dr, Dartmouth",Primary market,1964,6,6,,,,,"2023: $395,000; 2022: $384,100; 2021: $344,800; 2020: $297,700; 2019: $281,500",,2050114.00,B3A,Dartmouth North,Halifax
"1161 Tower Rd, Halifax",Primary market,,5,5,,,,,"2023: $1,056,500; 2022: $974,500; 2021: $896,300; 2020: $867,800; 2019: $859,600",,2050004.02,B3H,Peninsula South,Halifax
"1166 Wellington St, Halifax",Primary market,,5,5,,,,,"2023: $1,689,000; 2022: $1,536,500; 2021: $1,399,700; 2020: $1,141,800; 2019: $859,600","2019: $1,450,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"117 Albro Lake Rd, Dartmouth",Primary market,1960,11,11,1,,,,"2023: $714,700; 2022: $678,800; 2021: $653,500; 2020: $569,800; 2019: $583,000","2021: $5,846,340 (6 parcels in sale); 2020: $0 (7 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"117 Hanwell Dr, Middle Sackville",Primary market,2017,64,64,,,,,"2023: $11,410,800; 2022: $10,766,400; 2021: $10,412,600; 2020: $9,912,200; 2019: $10,387,300",,2050132.03,B4E,Sackville,Halifax
"117 Pinecrest Dr, Dartmouth",Primary market,1965,13,13,,,,,"2023: $965,300; 2022: $896,600; 2021: $863,100; 2020: $762,000; 2019: $749,800","2021: $5,526,118 (8 parcels in sale); 2020: $0 (2 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"117 Richmond St, Dartmouth",Primary market,2022,56,56,,,,,"2023: $14,764,900; 2022: $3,772,000; 2021: $1,283,000","2021: $1,446,467 (1 parcel in sale)",2050111.00,B3A,Dartmouth North,Halifax
"1172 Queen St, Halifax",Primary market,1885,4,4,,,,,"2023: $974,900; 2022: $913,900; 2021: $875,500; 2020: $913,400; 2019: $904,800",,2050004.02,B3H,Peninsula South,Halifax
"1172 Tower Rd, Halifax",Primary market,1964,12,12,,,,,"2023: $1,686,400; 2022: $1,486,500; 2021: $1,353,800; 2020: $1,224,600; 2019: $1,122,000",,2050004.02,B3H,Peninsula South,Halifax
"1173 Wellington St, Halifax",Primary market,1960,14,14,,,,,"2023: $2,489,500; 2022: $1,829,100; 2021: $1,821,600; 2020: $1,582,700; 2019: $1,492,200","2021: $2,575,000 (1 parcel in sale)",2050004.02,B3H,Peninsula South,Halifax
"1177 Cole Harbour Rd, Dartmouth",Primary market,1989,12,12,,,,,"2023: $1,146,900; 2022: $1,100,400; 2021: $1,062,600; 2020: $983,300; 2019: $928,500",,2050122.02 (2006-2010); 2050122.05 (2011-2022),B2W,Dartmouth East,Halifax
"1178 Queen St, Halifax",Primary market,,5,5,,,,,"2023: $920,000; 2022: $819,100; 2021: $768,300; 2020: $742,200; 2019: $735,200",,2050004.02,B3H,Peninsula South,Halifax
"1181 Beaufort Ave, Halifax",Primary market,1930,6,6,,,,,"2023: $1,034,100; 2022: $914,900; 2021: $832,400; 2020: $769,600; 2019: $711,500",,2050005.00,B3H,Peninsula South,Halifax
"1182 Cole Harbour Rd, Dartmouth",Primary market,1985,36,36,,,,,"2023: $2,622,900; 2022: $2,560,400; 2021: $2,474,400; 2020: $2,419,500; 2019: $2,292,600",,2050121.02,B2V,Dartmouth East,Halifax
"1187 Riverside Dr, Lower Sackville",Primary market,1975,8,8,,,,,"2023: $690,000; 2022: $660,500; 2021: $657,300; 2020: $624,900; 2019: $611,500",,2050131.02,B4C,Sackville,Halifax
"119 Albro Lake Rd, Dartmouth",Primary market,1976,20,20,,,,,"2023: $1,307,600; 2022: $1,232,600; 2021: $1,076,400; 2020: $1,071,800; 2019: $1,022,400",,2050114.00,B3A,Dartmouth North,Halifax
"119 Hanwell Dr, Middle Sackville",Primary market,2015,64,64,,,,,"2023: $11,433,600; 2022: $10,787,500; 2021: $10,350,900; 2020: $9,857,500; 2019: $10,403,700",,2050132.03,B4E,Sackville,Halifax
"119 Merrimac Dr, Dartmouth",Primary market,1979,41,41,,,,,"2023: $3,495,600; 2022: $3,350,200; 2021: $3,238,000; 2020: $2,905,100; 2019: $2,848,800",,2050122.02 (2006-2010); 2050122.05 (2011-2022),B2W,Dartmouth East,Halifax
"12 Alfred St, Dartmouth",Primary market,1960,6,6,,,,,"2023: $357,500; 2022: $299,400; 2021: $298,800; 2020: $309,200; 2019: $297,800",,2050112.00,B3A,Dartmouth North,Halifax
"12 Carrington Pl, Halifax",Primary market,2000,60,60,,,,,"2023: $7,656,900; 2022: $7,125,500; 2021: $6,825,500; 2020: $6,714,600; 2019: $5,883,700",,2050026.01 (2006-2010); 2050026.05 (2011-2022),B3S,Mainland North,Halifax
"12 Grove St, Dartmouth",Primary market,1966,4,4,,,,,"2023: $592,000; 2022: $563,200; 2021: $399,000; 2020: $388,600; 2019: $381,400","2020: $590,000 (1 parcel in sale)",2050111.00,B3A,Dartmouth North,Halifax
"12 Mandaville Crt, Halifax",Primary market,1972,22,22,,,,,"2023: $1,864,700; 2022: $1,768,900; 2021: $1,730,700; 2020: $1,771,400; 2019: $1,606,900",,2050025.03 (2006-2020); 2050025.04 (2021-2022),B3M,Mainland North,Halifax
"12 McFatridge Rd, Halifax",Primary market,1986,11,11,,,,,"2023: $782,000; 2022: $738,800; 2021: $718,100; 2020: $711,300; 2019: $679,200",,2050024.00,B3N,Mainland North,Halifax
"12 Nivens Ave, Dartmouth",Primary market,1960,6,6,1,,,,"2023: $478,800; 2022: $452,900; 2021: $411,700; 2020: $328,100; 2019: $334,900","2020: $1,897,800 (7 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"12 Regent Dr, Dartmouth",Primary market,1972,29,29,,,,,"2023: $2,285,600; 2022: $2,197,300; 2021: $2,040,700; 2020: $1,901,800; 2019: $1,772,400",,2050103.00,B2Y,Dartmouth South,Halifax
"12 Trinity Ave, Dartmouth",Primary market,1967,15,15,,,,,"2023: $1,175,700; 2022: $795,100; 2021: $794,100; 2020: $690,200; 2019: $723,800","2021: $5,132,703 (4 parcels in sale); 2020: $0 (7 parcels in sale)",2050112.00,B3A,Dartmouth North,Halifax
"12 Vimy Ave, Halifax",Primary market,2022,14,14,,,,,"2023: $2,368,700; 2022: $985,000; 2021: $928,000; 2020: $94,600; 2019: $214,800",,2050025.02,B3M,Mainland North,Halifax
"120 Albro Lake Rd, Dartmouth",Primary market,1960,4,4,,,,,"2023: $419,500; 2022: $379,700; 2021: $384,900; 2020: $333,200; 2019: $328,000",,2050109.00,B3A,Dartmouth North,Halifax
"1200 Tower Rd, Halifax",Primary market,1979,99,99,,1,Renovation,2022,"2023: $16,301,600; 2022: $15,060,900; 2021: $14,890,000; 2020: $13,733,000; 2019: $13,575,400",,2050004.02,B3H,Peninsula South,Halifax
"1211 Church St, Halifax",Primary market,1955,12,12,,,,,"2023: $1,824,100; 2022: $1,571,800; 2021: $1,565,400; 2020: $1,386,100; 2019: $1,265,700",,2050004.01,B3J,Peninsula South,Halifax
"1212 Hollis St, Halifax",Primary market,2017,63,63,,,,,"2023: $21,311,400; 2022: $20,001,600; 2021: $19,985,800; 2020: $17,446,700; 2019: $17,251,900",,2050004.01,B3J,Peninsula South,Halifax
"122 Ochterloney St, Dartmouth",Primary market,1930,6,6,,,,,"2023: $422,500; 2022: $411,000; 2021: $381,900; 2020: $376,100; 2019: $394,900",,2050102.00,B2Y,Dartmouth South,Halifax
"122 Pinecrest Dr, Dartmouth",Primary market,1963,6,6,,,,,"2023: $492,900; 2022: $462,000; 2021: $366,300; 2020: $312,000; 2019: $296,500",,2050114.00,B3A,Dartmouth North,Halifax
"1222 Cole Harbour Rd, Dartmouth",Primary market,1970,7,7,,,,,"2023: $1,073,900; 2022: $1,103,800; 2021: $756,000; 2020: $745,800; 2019: $700,200",,2050121.02,B2V,Dartmouth East,Halifax
"1227 Church St, Halifax",Primary market,1945,8,8,,,,,"2023: $1,209,000; 2022: $1,051,700; 2021: $953,800; 2020: $1,149,400; 2019: $1,059,300",,2050004.01,B3J,Peninsula South,Halifax
"123 Hammonds Plains Rd, Bedford",Primary market,1992,29,29,,,,,"2023: $2,589,400; 2022: $2,404,000; 2021: $2,270,400; 2020: $1,955,400; 2019: $1,881,800",,2050123.06,B4A,Bedford,Halifax
"123 Pinecrest Dr, Dartmouth",Primary market,,24,24,,,,,"2023: $1,402,600; 2022: $1,408,800; 2021: $1,231,300; 2020: $1,025,100; 2019: $1,034,000","2021: $5,526,118 (8 parcels in sale); 2020: $0 (6 parcels in sale)",2050114.00,B3A,Dartmouth North,Halifax
"1230 Church St, Halifax",Primary market,1950,7,7,,,,,"2023: $994,200; 2022: $857,100; 2021: $776,100; 2020: $695,500; 2019: $652,900",,2050004.01,B3J,Peninsula South,Halifax
"1231 Church St, Halifax",Primary market,1895,4,4,,,,,"2023: $736,000; 2022: $655,300; 2021: $614,600; 2020: $593,700; 2019: $588,100",,2050004.01,B3J,Peninsula South,Halifax
"1233 Queen St, Halifax",Primary market,1918,7,7,,,,,"2023: $1,117,600; 2022: $1,047,600; 2021: $908,700; 2020: $782,700; 2019: $721,500",,2050004.01,B3J,Peninsula South,Halifax
"1234 Barrington St, Halifax",Primary market,1865,8,8,,,,,"2023: $1,372,400; 2022: $1,190,300; 2021: $1,173,000; 2020: $877,900; 2019: $795,600",,2050004.01,B3J,Peninsula South,Halifax
"1237 Cole Harbour Rd, Dartmouth",Primary market,1985,20,20,,,,,"2023: $1,823,600; 2022: $1,770,300; 2021: $1,762,100; 2020: $1,627,700; 2019: $1,615,600",,2050122.02 (2006-2010); 2050122.05 (2011-2022),B2W,Dartmouth East,Halifax
"124 Albro Lake Rd, Dartmouth",Primary market,1959,5,5,,,,,"2023: $476,700; 2022: $436,600; 2021: $408,100; 2020: $360,200; 2019: $354,600",,2050109.00,B3A,Dartmouth North,Halifax
"124 Ochterloney St, Dartmouth",Primary market,1920,5,5,,,,,"2023: $327,800; 2022: $303,300; 2021: $292,900; 2020: $259,400; 2019: $255,300",,2050102.00,B2Y,Dartmouth South,Halifax
"124 Pinecrest Dr, Dartmouth",Primary market,1968,6,6,,,,,"2023: $478,800; 2022: $453,700; 2021: $412,200; 2020: $328,100; 2019: $334,900",,2050114.00,B3A,Dartmouth North,Halifax
"1244 Church St, Halifax",Primary market,,5,5,,,,,"2023: $1,107,700; 2022: $1,024,700; 2021: $956,500; 2020: $867,800; 2019: $859,600","2019: $2,225,000 (2 parcels in sale)",2050004.01,B3J,Peninsula South,Halifax
"1244 Robie St, Halifax",Primary market,1951,15,15,,,,,"2023: $2,251,300; 2022: $1,943,100; 2021: $1,932,500; 2020: $1,714,200; 2019: $1,563,500",,2050006.00,B3H,Peninsula South,Halifax
"125 Crown Dr, Halifax",Primary market,1965,6,6,,,,,"2023: $833,800; 2022: $621,600; 2021: $591,600; 2020: $571,400; 2019: $557,000",,2050017.00,B3N,Mainland North,Halifax
"125 Knightsridge Dr, Halifax",Primary market,1987,26,26,,,,,"2023: $3,146,100; 2022: $2,772,200; 2021: $2,514,400; 2020: $2,495,600; 2019: $2,318,200",,2050026.02,B3M,Mainland North,Halifax
"125 Pinecrest Dr, Dartmouth",Primary market,1969,6,6,,,,,"2023: $407,000; 2022: $392,000; 2021: $355,600; 2020: $304,900; 2019: $289,000",,2050114.00,B3A,Dartmouth North,Halifax
